sku_group_id,branch_id,sku_item_code
220,1,280000020000
220,1,280000040000
220,1,280000070000
220,1,280000090000
220,1,280000100000
220,1,280000110000
220,1,280000120000
220,1,280000130000
220,1,280000140000
220,1,280000150000
220,1,280000160000
220,1,280000170000
220,1,280000180000
220,1,280000190000
220,1,280000200000
220,1,280000240000
220,1,280000250000
220,1,280000260000
220,1,280000270000
220,1,280000280000
220,1,280000290000
220,1,280000300000
220,1,280000310000
220,1,280000320000
220,1,280000330000
220,1,280000340000
220,1,280000350000
220,1,280000360000
220,1,280000370000
220,1,280000380000
220,1,280000400000
220,1,280000410000
220,1,280000420000
220,1,280000430000
220,1,280000440000
220,1,280000450000
220,1,280000460000
220,1,280000470000
220,1,280000480000
220,1,280000490000
220,1,280000500000
220,1,280000510000
220,1,280000520000
220,1,280000530000
220,1,280000540000
220,1,280000550000
220,1,280000560000
220,1,280000570000
220,1,280000580000
220,1,280000590000
220,1,280000600000
220,1,280000610000
220,1,280000620000
220,1,280000630000
220,1,280000640000
220,1,280000650000
220,1,280000660000
220,1,280000670000
220,1,280000680000
220,1,280000690000
220,1,280000710000
220,1,280000720000
220,1,280000730000
220,1,280000740000
220,1,280000750000
220,1,280000760000
220,1,280000770000
220,1,280000780000
220,1,280000790000
220,1,280000800000
220,1,280000810000
220,1,280000820000
220,1,280000830000
220,1,280000840000
220,1,280000850000
220,1,280000860000
220,1,280000870000
220,1,280000880000
220,1,280000890000
220,1,280000900000
220,1,280000910000
220,1,280000920000
220,1,280000930000
220,1,280000940000
220,1,280000950000
220,1,280000960000
220,1,280000970000
220,1,280000980000
220,1,280000990000
220,1,280001000000
220,1,280001010000
220,1,280001020000
220,1,280001030000
220,1,280001040000
220,1,280001050000
220,1,280001060000
220,1,280001070000
220,1,280001080000
220,1,280001090000
220,1,280001100000
220,1,280001110000
220,1,280001120000
220,1,280001130000
220,1,280001140000
220,1,280001150000
220,1,280001160000
220,1,280001180000
220,1,280001190000
220,1,280001200000
220,1,280001210000
220,1,280001220000
220,1,280001230000
220,1,280001240000
220,1,280001250000
220,1,280001260000
220,1,280001270000
220,1,280001280000
220,1,280001290000
220,1,280001300000
220,1,280001310000
220,1,280001320000
220,1,280001330000
220,1,280001340000
220,1,280001350000
220,1,280001360000
220,1,280001370000
220,1,280001380000
220,1,280001390000
220,1,280001400000
220,1,280001410000
220,1,280001420000
220,1,280001430000
220,1,280001440000
220,1,280001450000
220,1,280001460000
220,1,280001470000
220,1,280001480000
220,1,280001490000
220,1,280001500000
220,1,280001510000
220,1,280001530000
220,1,280001540000
220,1,280001550000
220,1,280001560000
220,1,280001570000
220,1,280001580000
220,1,280001590000
220,1,280001600000
220,1,280001610000
220,1,280001620000
220,1,280001630000
220,1,280001640000
220,1,280001650000
220,1,280001660000
220,1,280001670000
220,1,280001690000
220,1,280001700000
220,1,280001710000
220,1,280001720000
220,1,280001730000
220,1,280001740000
220,1,280001750000
220,1,280001760000
220,1,280001770000
220,1,280001780000
220,1,280001790000
220,1,280001800000
220,1,280001810000
220,1,280001820000
220,1,280001830000
220,1,280001840000
220,1,280001850000
220,1,280001860000
220,1,280001870000
220,1,280001890000
220,1,280001900000
220,1,280001910000
220,1,280001920000
220,1,280001930000
220,1,280001940000
220,1,280001950000
220,1,280001960000
220,1,280001970000
220,1,280001980000
220,1,280001990000
220,1,280002000000
220,1,280002010000
220,1,280002020000
220,1,280002030000
220,1,280002040000
220,1,280002050000
220,1,280002070000
220,1,280002080000
220,1,280002090000
220,1,280002100000
220,1,280002110000
220,1,280002120000
220,1,280002150000
220,1,280002160000
220,1,280002170000
220,1,280002180000
220,1,280002190000
220,1,280002200000
220,1,280002210000
220,1,280002220000
220,1,280002230000
220,1,280002240000
220,1,280002250000
220,1,280002260000
220,1,280002270000
220,1,280002280000
220,1,280002290000
220,1,280002300000
220,1,280002310000
220,1,280002320000
220,1,280002470000
220,1,280002480000
220,1,280002490000
220,1,280002500000
220,1,280002510000
220,1,280002520000
220,1,280002530000
220,1,280002570000
220,1,280002580000
220,1,280002590000
220,1,280002600000
220,1,280002610000
220,1,280002620000
220,1,280002640000
220,1,280002650000
220,1,280002660000
220,1,280002670000
220,1,280002680000
220,1,280002690000
220,1,280002720000
220,1,280002730000
220,1,280002740000
220,1,280002750000
220,1,280002780000
220,1,280002790000
220,1,280002800000
220,1,280002810000
220,1,280002820000
220,1,280002830000
220,1,280002840000
220,1,280002850000
220,1,280002860000
220,1,280002870000
220,1,280002880000
220,1,280002890000
220,1,280002900000
220,1,280002910000
220,1,280002920000
220,1,280002930000
220,1,280002940000
220,1,280002950000
220,1,280002960000
220,1,280002970000
220,1,280002980000
220,1,280002990000
220,1,280003000000
220,1,280003010000
220,1,280003020000
220,1,280003030000
220,1,280003040000
220,1,280003050000
220,1,280003060000
220,1,280003070000
220,1,280003080000
220,1,280003090000
220,1,280003100000
220,1,280003110000
220,1,280003120000
220,1,280003130000
220,1,280003140000
220,1,280003150000
220,1,280003160000
220,1,280003170000
220,1,280003180000
220,1,280003190000
220,1,280003200000
220,1,280003210000
220,1,280003220000
220,1,280003230000
220,1,280003240000
220,1,280003250000
220,1,280003270000
220,1,280003280000
220,1,280003290000
220,1,280003300000
220,1,280003310000
220,1,280003320000
220,1,280003330000
220,1,280003340000
220,1,280003350000
220,1,280003360000
220,1,280003370000
220,1,280003380000
220,1,280003390000
220,1,280003400000
220,1,280003410000
220,1,280003420000
220,1,280003430000
220,1,280003440000
220,1,280003450000
220,1,280003460000
220,1,280003470000
220,1,280003480000
220,1,280003490000
220,1,280003680000
220,1,280003690000
220,1,280003700000
220,1,280003710000
220,1,280003720000
220,1,280003730000
220,1,280003740000
220,1,280003750000
220,1,280003760000
220,1,280003770000
220,1,280003780000
220,1,280003790000
220,1,280003840000
220,1,280003850000
220,1,280003860000
220,1,280003870000
220,1,280003880000
220,1,280003890000
220,1,280003900000
220,1,280003910000
220,1,280003920000
220,1,280003930000
220,1,280003940000
220,1,280003950000
220,1,280003970000
220,1,280003980000
220,1,280003990000
220,1,280004000000
220,1,280004010000
220,1,280004020000
220,1,280004030000
220,1,280004050000
220,1,280004060000
220,1,280004070000
220,1,280004080000
220,1,280004090000
220,1,280004100000
220,1,280004110000
220,1,280004120000
220,1,280004130000
220,1,280004140000
220,1,280004150000
220,1,280004160000
220,1,280004170000
220,1,280004180000
220,1,280004190000
220,1,280004210000
220,1,280004220000
220,1,280004230000
220,1,280004240000
220,1,280004250000
220,1,280004260000
220,1,280004270000
220,1,280004280000
220,1,280004290000
220,1,280004300000
220,1,280004310000
220,1,280004330000
220,1,280004350000
220,1,280004360000
220,1,280004370000
220,1,280004380000
220,1,280004390000
220,1,280004400000
220,1,280004440000
220,1,280004450000
220,1,280004470000
220,1,280004480000
220,1,280004490000
220,1,280004500000
220,1,280004510000
220,1,280004520000
220,1,280004530000
220,1,280004540000
220,1,280004550000
220,1,280004560000
220,1,280004570000
220,1,280004580000
220,1,280004590000
220,1,280004600000
220,1,280004610000
220,1,280004620000
220,1,280004630000
220,1,280004640000
220,1,280004650000
220,1,280004660000
220,1,280004670000
220,1,280004680000
220,1,280004690000
220,1,280004700000
220,1,280004710000
220,1,280004720000
220,1,280004730000
220,1,280004740000
220,1,280004750000
220,1,280004760000
220,1,280004780000
220,1,280004800000
220,1,280004810000
220,1,280004820000
220,1,280004830000
220,1,280004840000
220,1,280004850000
220,1,280004860000
220,1,280004870000
220,1,280004880000
220,1,280004900000
220,1,280004910000
220,1,280004920000
220,1,280004930000
220,1,280004940000
220,1,280004960000
220,1,280004970000
220,1,280004980000
220,1,280004990000
220,1,280005000000
220,1,280005010000
220,1,280005020000
220,1,280005030000
220,1,280005040000
220,1,280005050000
220,1,280005060000
220,1,280005070000
220,1,280005080000
220,1,280005090000
220,1,280005100000
220,1,280005110000
220,1,280005120000
220,1,280005130000
220,1,280005140000
220,1,280005150000
220,1,280005160000
220,1,280005170000
220,1,280005180000
220,1,280005190000
220,1,280005200000
220,1,280005210000
220,1,280005220000
220,1,280005230000
220,1,280005240000
220,1,280005250000
220,1,280005260000
220,1,280005270000
220,1,280005280000
220,1,280005290000
220,1,280005300000
220,1,280005310000
220,1,280005320000
220,1,280005330000
220,1,280005340000
220,1,280005350000
220,1,280005360000
220,1,280005370000
220,1,280005380000
220,1,280005390000
220,1,280005400000
220,1,280005410000
220,1,280005420000
220,1,280005430000
220,1,280005440000
220,1,280005450000
220,1,280005460000
220,1,280005470000
220,1,280005480000
220,1,280005490000
220,1,280005500000
220,1,280005510000
220,1,280005520000
220,1,280005530000
220,1,280005540000
220,1,280005550000
220,1,280005560000
220,1,280005580000
220,1,280005590000
220,1,280005600000
220,1,280005610000
220,1,280005620000
220,1,280005630000
220,1,280005640000
220,1,280005650000
220,1,280005660000
220,1,280005670000
220,1,280005680000
220,1,280005690000
220,1,280005700000
220,1,280005710000
220,1,280005720000
220,1,280005730000
220,1,280005740000
220,1,280005750000
220,1,280005760000
220,1,280005770000
220,1,280005780000
220,1,280005790000
220,1,280005800000
220,1,280005810000
220,1,280005820000
220,1,280005830000
220,1,280005840000
220,1,280005850000
220,1,280005860000
220,1,280005880000
220,1,280005890000
220,1,280005900000
220,1,280005910000
220,1,280005920000
220,1,280005930000
220,1,280005940000
220,1,280005950000
220,1,280005960000
220,1,280005970000
220,1,280005980000
220,1,280005990000
220,1,280006000000
220,1,280006010000
220,1,280006020000
220,1,280006030000
220,1,280006040000
220,1,280006050000
220,1,280006060000
220,1,280006070000
220,1,280006080000
220,1,280006090000
220,1,280006100000
220,1,280006110000
220,1,280006120000
220,1,280006130000
