sku_group_id,branch_id,sku_item_code
223,1,280022340000
223,1,280022340001
223,1,280249550000
223,1,280249550001
223,1,280020200000
223,1,280020200001
223,1,280020200002
223,1,280020200003
223,1,280020200004
223,1,280020250000
223,1,280020250001
223,1,280020250002
223,1,280020260000
223,1,280020260001
223,1,280020260002
223,1,280020270000
223,1,280020270001
223,1,280020270002
223,1,280000010000
223,1,280000010001
223,1,280020290000
223,1,280020290001
223,1,280020350000
223,1,280020350002
223,1,280020360000
223,1,280020360001
223,1,280020360002
223,1,280020370000
223,1,280020370005
223,1,280020370006
223,1,280020370007
223,1,280020370008
223,1,280033660000
223,1,280033660001
223,1,280033660003
223,1,280031810000
223,1,280031810001
223,1,280020380000
223,1,280020380001
223,1,280020390000
223,1,280020390001
223,1,280020420000
223,1,280020420001
223,1,280020420002
223,1,280020470000
223,1,280020470001
223,1,280020470002
223,1,280020480000
223,1,280020480005
223,1,280020480006
223,1,280020480007
223,1,280020480008
223,1,280020530000
223,1,280020530002
223,1,280020610000
223,1,280020610001
223,1,280020610002
223,1,280020670000
223,1,280020670002
223,1,280020680000
223,1,280020680001
223,1,280020700000
223,1,280020700001
223,1,280020720000
223,1,280020720001
223,1,280020730000
223,1,280020730001
223,1,280020790000
223,1,280020790001
223,1,280020800000
223,1,280020800001
223,1,280020810000
223,1,280020810001
223,1,280020840000
223,1,280020840002
223,1,280020850000
223,1,280020850002
223,1,280020870000
223,1,280020870001
223,1,280028730000
223,1,280028730001
223,1,280020910000
223,1,280020910001
223,1,280020950000
223,1,280020950001
223,1,280020970000
223,1,280020970001
223,1,280021000000
223,1,280021000001
223,1,280021010000
223,1,280021010001
223,1,280021040000
223,1,280021040001
223,1,280021070000
223,1,280021070001
223,1,280021080000
223,1,280021080001
223,1,280021080002
223,1,280021100000
223,1,280021100001
223,1,280021110000
223,1,280021110001
223,1,280021120000
223,1,280021120001
223,1,280269380000
223,1,280269380001
223,1,280269390000
223,1,280269390001
223,1,280028740000
223,1,280028740001
223,1,280021130000
223,1,280021130001
223,1,280021130002
223,1,280031820000
223,1,280031820001
223,1,280021150000
223,1,280021150001
223,1,280031830000
223,1,280031830001
223,1,280031840000
223,1,280031840001
223,1,280021160000
223,1,280021160001
223,1,280021160002
223,1,280028910000
223,1,280028910001
223,1,280031860000
223,1,280031860001
223,1,280031870000
223,1,280031870001
223,1,280028920000
223,1,280028920001
223,1,280286800000
223,1,280286800001
223,1,280021180000
223,1,280021180001
223,1,280021200000
223,1,280021200001
223,1,280021200002
223,1,280031880000
223,1,280031880001
223,1,280021220000
223,1,280021220001
223,1,280021220002
223,1,280021230000
223,1,280021230001
223,1,280021240000
223,1,280021240001
223,1,280021260000
223,1,280021260001
223,1,280021280000
223,1,280021280001
223,1,280021290000
223,1,280021290001
223,1,280021300000
223,1,280021300001
223,1,280021310000
223,1,280021310001
223,1,280269540000
223,1,280269540001
223,1,280028750000
223,1,280028750001
223,1,280031890000
223,1,280031890001
223,1,280031900000
223,1,280031900001
223,1,280031900002
223,1,280021330000
223,1,280021330001
223,1,280021330002
223,1,280028080000
223,1,280028080001
223,1,280028090000
223,1,280028090001
223,1,280288860000
223,1,280288860001
223,1,280288870000
223,1,280288870001
223,1,280031910000
223,1,280031910001
223,1,280031910002
223,1,280031920000
223,1,280031920001
223,1,280031920002
223,1,280031930000
223,1,280031930001
223,1,280031940000
223,1,280031940001
223,1,280021350000
223,1,280021350001
223,1,280021360000
223,1,280021360001
223,1,280021360002
223,1,280021360003
223,1,280036470000
223,1,280036470001
223,1,280036480000
223,1,280036480001
223,1,280031950000
223,1,280031950002
223,1,280021370000
223,1,280021370001
223,1,280021370002
223,1,280021380000
223,1,280021380001
223,1,280021380002
223,1,280031990000
223,1,280031990001
223,1,280032000000
223,1,280032000001
223,1,280032060000
223,1,280032060001
223,1,280032080000
223,1,280032080001
223,1,280028100000
223,1,280028100001
223,1,280028940000
223,1,280028940001
223,1,280028950000
223,1,280028950001
223,1,280028970000
223,1,280028970001
223,1,280028980000
223,1,280028980001
223,1,280029000000
223,1,280029000002
223,1,280285450000
223,1,280285450001
223,1,280285460000
223,1,280285460001
223,1,280032120000
223,1,280032120001
223,1,280032120002
223,1,280312540000
223,1,280312540001
223,1,280312550000
223,1,280312550001
223,1,280308540000
223,1,280308540001
223,1,280296780000
223,1,280296780001
223,1,280308550000
223,1,280308550001
223,1,280312560000
223,1,280312560001
223,1,280308560000
223,1,280308560001
223,1,280289950000
223,1,280289950001
223,1,280316200000
223,1,280316200001
223,1,280316210000
223,1,280316210001
223,1,280316220000
223,1,280316220001
223,1,280312570000
223,1,280312570001
223,1,280312580000
223,1,280312580001
223,1,280308570000
223,1,280308570001
223,1,280308580000
223,1,280308580001
223,1,280021430000
223,1,280021430001
223,1,280021430002
223,1,280021430003
223,1,280000030000
223,1,280000030001
223,1,280000030002
223,1,280000030003
223,1,280000030004
223,1,280032130000
223,1,280032130001
223,1,280251410000
223,1,280251410001
223,1,280251410002
223,1,280251410003
223,1,280251410004
223,1,280251410005
223,1,280251410006
223,1,280269400000
223,1,280269400001
223,1,280269400002
223,1,280269520000
223,1,280269520001
223,1,280021460000
223,1,280021460001
223,1,280021460002
223,1,280021460003
223,1,280021460004
223,1,280021460005
223,1,280269410000
223,1,280269410001
223,1,280269410002
223,1,280269410003
223,1,280269410004
223,1,280021470000
223,1,280021470001
223,1,280021490000
223,1,280021490001
223,1,280021500000
223,1,280021500001
223,1,280021510000
223,1,280021510001
223,1,280021520000
223,1,280021520001
223,1,280021530000
223,1,280021530001
223,1,280021530002
223,1,280021530003
223,1,280021530004
223,1,280021540000
223,1,280021540001
223,1,280021550000
223,1,280021550001
223,1,280021560000
223,1,280021560001
223,1,280021570000
223,1,280021570001
223,1,280021570002
223,1,280021580000
223,1,280021580001
223,1,280021590000
223,1,280021590001
223,1,280021600000
223,1,280021600001
223,1,280021600002
223,1,280021610000
223,1,280021610001
223,1,280021620000
223,1,280021620001
223,1,280021620002
223,1,280021630000
223,1,280021630001
223,1,280021640000
223,1,280021640001
223,1,280021640002
223,1,280021650000
223,1,280021650001
223,1,280021650002
223,1,280021660000
223,1,280021660001
223,1,280021660002
223,1,280021670000
223,1,280021670001
223,1,280021670002
223,1,280021680000
223,1,280021680001
223,1,280021680002
223,1,280021690000
223,1,280021690001
223,1,280021690002
223,1,280021700000
223,1,280021700001
223,1,280021700002
223,1,280021710000
223,1,280021710001
223,1,280021710002
223,1,280021720000
223,1,280021720001
223,1,280021730000
223,1,280032140000
223,1,280032140002
223,1,280032150000
223,1,280032150001
223,1,280021770000
223,1,280021770001
223,1,280021770002
223,1,280021770003
223,1,280021770004
223,1,280021810000
223,1,280021810001
223,1,280021810002
223,1,280021810003
223,1,280021810004
223,1,280021810005
223,1,280021810006
223,1,280021810007
223,1,280021810008
223,1,280021840000
223,1,280021840001
223,1,280021840002
223,1,280021840003
223,1,280021840004
223,1,280021840005
223,1,280021840006
223,1,280021850000
223,1,280021860000
223,1,280021860001
223,1,280021860002
223,1,280021870000
