sku_group_id,branch_id,sku_item_code
245,1,280000010000
245,1,280000020000
245,1,280000030000
245,1,280000040000
245,1,280000050000
245,1,280000060000
245,1,280000070000
245,1,280000080000
245,1,280000090000
245,1,280000100000
245,1,280000110000
245,1,280000120000
245,1,280000130000
245,1,280000140000
245,1,280000150000
245,1,280000160000
245,1,280000170000
245,1,280000180000
245,1,280000190000
245,1,280000200000
245,1,280000240000
245,1,280000250000
245,1,280000260000
245,1,280000270000
245,1,280000280000
245,1,280000290000
245,1,280000300000
245,1,280000310000
245,1,280000320000
245,1,280000330000
245,1,280000340000
245,1,280000350000
245,1,280000360000
245,1,280000370000
245,1,280000380000
245,1,280000390000
245,1,280000400000
245,1,280000410000
245,1,280000420000
245,1,280000430000
245,1,280000440000
245,1,280000450000
245,1,280000460000
245,1,280000470000
245,1,280000480000
245,1,280000490000
245,1,280000500000
245,1,280000510000
245,1,280000520000
245,1,280000530000
245,1,280000540000
245,1,280000550000
245,1,280000560000
245,1,280000570000
245,1,280000580000
245,1,280000590000
245,1,280000600000
245,1,280000610000
245,1,280000620000
245,1,280000630000
245,1,280000640000
245,1,280000650000
245,1,280000660000
245,1,280000670000
245,1,280000680000
245,1,280000690000
245,1,280000710000
245,1,280000720000
245,1,280000730000
245,1,280000740000
245,1,280000750000
245,1,280000760000
245,1,280000770000
245,1,280000780000
245,1,280000790000
245,1,280000800000
245,1,280000810000
245,1,280000820000
245,1,280000830000
245,1,280000840000
245,1,280000850000
245,1,280000860000
245,1,280000870000
245,1,280000880000
245,1,280000890000
245,1,280000900000
245,1,280000910000
245,1,280000920000
245,1,280000930000
245,1,280000940000
245,1,280000950000
245,1,280000960000
245,1,280000970000
245,1,280000980000
245,1,280000990000
245,1,280001000000
245,1,280001010000
245,1,280001020000
245,1,280001030000
245,1,280001040000
245,1,280001050000
245,1,280001060000
245,1,280001070000
245,1,280001080000
245,1,280001090000
245,1,280001100000
245,1,280001110000
245,1,280001120000
245,1,280001130000
245,1,280001140000
245,1,280001150000
245,1,280001160000
245,1,280001180000
245,1,280001190000
245,1,280001200000
245,1,280001210000
245,1,280001220000
245,1,280001230000
245,1,280001240000
245,1,280001250000
245,1,280001260000
245,1,280001270000
245,1,280001280000
245,1,280001290000
245,1,280001300000
245,1,280001310000
245,1,280001320000
245,1,280001330000
245,1,280001340000
245,1,280001350000
245,1,280001360000
245,1,280001370000
245,1,280001380000
245,1,280001390000
245,1,280001400000
245,1,280001410000
245,1,280001420000
245,1,280001430000
245,1,280001440000
245,1,280001450000
245,1,280001460000
245,1,280001470000
245,1,280001480000
245,1,280001490000
245,1,280001500000
245,1,280001510000
245,1,280001530000
245,1,280001540000
245,1,280001550000
245,1,280001560000
245,1,280001570000
245,1,280001580000
245,1,280001590000
245,1,280001600000
245,1,280001610000
245,1,280001620000
245,1,280001630000
245,1,280001640000
245,1,280001650000
245,1,280001660000
245,1,280001670000
245,1,280001690000
245,1,280001700000
245,1,280001710000
245,1,280001720000
245,1,280001730000
245,1,280001740000
245,1,280001750000
245,1,280001760000
245,1,280001770000
245,1,280001780000
245,1,280001790000
245,1,280001800000
245,1,280001810000
245,1,280001820000
245,1,280001830000
245,1,280001840000
245,1,280001850000
245,1,280001860000
245,1,280001870000
245,1,280001890000
245,1,280001900000
245,1,280001910000
245,1,280001920000
245,1,280001930000
245,1,280001940000
245,1,280001950000
245,1,280001960000
245,1,280001970000
245,1,280001980000
245,1,280001990000
245,1,280002000000
245,1,280002010000
245,1,280002020000
245,1,280002030000
245,1,280002040000
245,1,280002050000
245,1,280002070000
245,1,280002080000
245,1,280002090000
245,1,280002100000
245,1,280002110000
245,1,280002120000
245,1,280002130000
245,1,280002140000
245,1,280002150000
245,1,280002160000
245,1,280002170000
245,1,280002180000
245,1,280002190000
245,1,280002200000
245,1,280002210000
245,1,280002220000
245,1,280002230000
245,1,280002240000
245,1,280002250000
